,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,562,56,6.366223037865355,13.430333115028835,18.965664160400937,76.04871447902572,9.9644128113879,596.9378653338016,0.58124427004265,29.34285714285714
1,static_weighting,0.25,,620,0,,5.255293893627215,17.43646694214871,83.89715832205682,0.0,583.5363598895781,0.5219466546418409,30.216216216216218
2,percentage_flexible_weighting,0.25,0.33,619,0,,5.418405164288416,17.23974181650528,83.7618403247632,0.0,581.8094406543543,0.523209928646002,30.054054054054053
