,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,563,74,9.221369914898062,14.285265798171599,18.86765432098763,65.61771561771562,13.143872113676732,598.4367857861234,0.585554584917929,29.2
1,static_weighting,0.25,,670,0,,7.321408662913066,15.822374131944372,78.08857808857809,0.0,582.9799105687874,0.4991266357609481,29.94871794871795
2,percentage_flexible_weighting,0.25,0.33,668,0,,7.36785215167272,16.29497182488077,77.85547785547784,0.0,586.0121428287268,0.49915855436859186,30.102564102564102
