,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,564,22,5.6082247672020085,9.305647439752027,18.7190695296524,65.20231213872833,3.900709219858156,584.37370878612,0.5944798665169074,28.91176470588235
1,static_weighting,0.25,,615,0,,5.583548922637703,16.445879888268184,71.09826589595376,0.0,564.0848904292867,0.5156169016721085,30.38888888888889
2,percentage_flexible_weighting,0.25,0.33,611,0,,5.894008419776555,16.911028015194628,70.63583815028902,0.0,560.7824839936278,0.5231179888000259,30.62857142857143
