,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,575,132,9.259804212270021,19.135851421436563,18.880795510004802,67.33021077283372,22.956521739130434,598.8146805201712,0.5982164640561152,28.6
1,static_weighting,0.25,,723,0,,7.073312623437359,15.655072904009701,84.66042154566745,0.0,597.2212953139065,0.4915401607521864,29.634146341463413
2,percentage_flexible_weighting,0.25,0.33,704,0,,7.448061334920143,15.733862598588626,82.43559718969556,0.0,597.545071606951,0.5068236400398227,29.475
