,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,567,99,9.205275543070725,17.221211042783228,18.937274600721246,68.47826086956522,17.46031746031746,598.5447782342814,0.587961471742909,29.085714285714285
1,static_weighting,0.25,,664,0,,8.886533142927119,15.996202256944377,80.19323671497585,0.0,598.5447782342812,0.4918198670782919,30.425
2,percentage_flexible_weighting,0.25,0.33,663,0,,10.467143296104075,16.363305047867744,80.07246376811594,0.0,598.5447782342812,0.4938488269259746,30.3
