,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,567,250,11.002590035870147,23.848842919967055,18.656666666666737,55.64278704612365,44.091710758377424,599.4970793055516,0.6019046980979433,28.457142857142856
1,static_weighting,0.25,,747,0,,12.48289681899809,14.758543165467554,73.30716388616291,0.0,599.4970793055516,0.47130273530310657,29.58139534883721
2,percentage_flexible_weighting,0.25,0.33,732,0,,12.91808627768393,14.716495364772236,71.8351324828263,0.0,599.4970793055516,0.4834653865367351,29.523809523809526
