,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,567,250,11.153551567479441,24.022989734707192,18.656666666666737,55.64278704612365,44.091710758377424,598.617230455648,0.6010213157185221,28.457142857142856
1,static_weighting,0.25,,779,0,,11.691548041471599,14.552229361370706,76.44749754661433,0.0,598.0161333962835,0.46107643284216154,29.477272727272727
2,percentage_flexible_weighting,0.25,0.33,733,0,,13.495034767015092,14.811724565756895,71.9332679097154,0.0,598.0161333962835,0.48619197837096223,29.285714285714285
