,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,580,517,21.21269622187261,32.79630753334214,18.994674185463545,44.274809160305345,89.13793103448275,598.6524062905579,0.585765563885086,29.2
1,static_weighting,0.25,,736,168,,19.696937039806755,14.538563288563259,56.18320610687023,22.82608695652174,598.6524062905579,0.4434462268818947,30.681818181818183
2,percentage_flexible_weighting,0.25,0.33,743,156,,19.440106499377364,14.485050505050468,56.7175572519084,20.995962314939433,598.6524062905579,0.4434462268818947,30.681818181818183
