,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,601,345,14.170325628480304,26.43362611391037,18.88332152974508,52.81195079086116,57.40432612312812,594.9247032440664,0.5731451861696208,29.65714285714286
1,static_weighting,0.25,,819,0,,15.681971421971479,14.265613451589056,71.96836555360281,0.0,594.3732196456921,0.4376827832442504,30.177777777777777
2,percentage_flexible_weighting,0.25,0.33,809,2,,15.887019166535527,14.411611866969038,71.0896309314587,0.2472187886279357,594.3732196456921,0.44589138758116437,30.295454545454547
