,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,570,266,11.528019558817729,24.28926083406358,18.93037037037029,53.32086061739943,46.666666666666664,597.8042151444802,0.5895505080320317,28.97142857142857
1,static_weighting,0.25,,807,0,,13.84214637065114,14.578101851851885,75.49111318989709,0.0,597.8042151444802,0.44678939846373705,30.40909090909091
2,percentage_flexible_weighting,0.25,0.33,815,0,,13.290732593793692,14.547329650092104,76.23947614593078,0.0,597.8042151444802,0.4461225486152837,30.454545454545453
