,method,c,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour,p
0,FCFS,,616,135,8.879568404916776,16.20399897346914,18.899693540782653,66.66666666666666,21.915584415584416,596.0164672771607,0.5769762509943472,29.514285714285716,
1,dist_prio_ratio,,792,15,,7.212608349966404,15.456353695324289,85.71428571428571,1.893939393939394,589.4903206298291,0.473106196332126,29.666666666666668,
2,static_weighting,0,731,74,36.83182727830177,9.173954260279164,15.39014251781472,79.11255411255411,10.12311901504788,585.7542622807554,0.4769985849191819,29.238095238095237,
3,static_weighting,0.25,717,0,,10.100104202026557,15.899449877750607,77.59740259740259,0.0,589.6679221759327,0.4926214888687826,30.692307692307693,
4,static_weighting,0.5,669,0,,11.4949804212502,16.74535256410265,72.40259740259741,0.0,590.4608659622148,0.5161371205963416,30.91891891891892,
5,static_weighting,0.75,668,0,,11.758706475858837,16.68940368940375,72.2943722943723,0.0,590.4608659622148,0.5170410384958098,30.864864864864863,
6,static_weighting,1,627,2,,13.298413064568258,19.242378048780488,67.85714285714286,0.3189792663476874,592.2568317137252,0.5514495639792599,30.685714285714287,
7,trigger_flexible_weighting,0.1,700,0,,11.831386603466663,16.317397482744642,75.75757575757575,0.0,590.7959289474221,0.4939765292202526,30.666666666666668,
8,percentage_flexible_weighting,0.25,741,3,,10.157128977250185,15.885019841269953,80.1948051948052,0.4048582995951417,592.2929221759327,0.4842951121634773,30.575,0.33
