,method,c,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour,p
0,FCFS,,603,169,8.32249979653875,17.93020476838817,18.83315476190476,63.674762407602955,28.026533996683252,597.3441588099895,0.5771441147922604,29.571428571428573,
1,dist_prio_ratio,,799,12,,7.504218036020161,14.958379940342997,84.37170010559663,1.5018773466833542,594.6080998522048,0.45668824873441227,30.27906976744186,
2,static_weighting,0,730,78,33.76079270571368,8.309148431588497,15.4518150822303,77.08553326293558,10.684931506849315,593.7263117242877,0.46384868103459975,30.476190476190474,
3,static_weighting,0.25,727,12,,9.906290574994665,15.52422480620157,76.76874340021119,1.6506189821182942,595.0416089755805,0.47756148392903736,30.390243902439025,
4,static_weighting,0.5,687,0,,11.435227593692947,16.08553196053201,72.54487856388594,0.0,594.0881242960064,0.5009174741113039,30.41025641025641,
5,static_weighting,0.75,686,0,,12.386730181823783,16.398886032562146,72.43928194297783,0.0,594.4214576293398,0.5020451500247802,30.358974358974358,
6,static_weighting,1,616,33,,13.755631482109644,18.98634453781509,65.04751847940867,5.357142857142857,597.3441588099895,0.5546371019591361,29.916666666666668,
7,trigger_flexible_weighting,0.1,710,0,,9.80104149471084,15.62448046550286,74.97360084477297,0.0,595.1666089755805,0.4874419401929406,30.525,
8,percentage_flexible_weighting,0.25,716,0,,10.269448768437245,15.489931846344504,75.60718057022176,0.0,594.5574492608413,0.48734217152527975,30.5,0.33
