,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,619,292,7.644324642152662,20.056479864688924,20.89679656538956,55.86642599277978,47.172859450726975,596.9160924827752,0.49826051125440335,39.93333333333333
1,static_weighting,0.25,,855,1,,13.499874182266167,17.191709401709343,77.16606498194946,0.11695906432748539,596.9160924827751,0.3826385208222917,41.05263157894737
