,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,505,0,,4.799494458769713,18.08026242322731,75.71214392803599,0.0,598.1716321602206,0.6774310669991174,23.236842105263158
1,static_weighting,0.25,,555,0,,3.3779738636786063,16.3149122807018,83.20839580209895,0.0,597.7284287641031,0.6074475902074219,21.866666666666667
2,percentage_flexible_weighting,0.25,0.33,536,0,,3.7032919984759984,16.544495884773706,80.35982008995502,0.0,597.5775517128437,0.620537436877304,21.4
