,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,573,37,2.6238920307138995,10.17987731122289,18.438579277865013,88.0184331797235,6.457242582897033,589.575291825789,0.6332709901458529,26.6
1,static_weighting,0.25,,581,0,,5.247260008499027,15.860654668753321,89.24731182795699,0.0,562.5104429495615,0.6029050835472256,24.55263157894737
2,percentage_flexible_weighting,0.25,0.33,588,0,,5.209521734475336,16.233539094650173,90.32258064516128,0.0,562.4957637880541,0.595864156555142,24.842105263157894
