,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,404,34,3.7750741701198347,8.59965241689701,18.96633333333336,72.40143369175627,8.415841584158416,470.45585017949156,0.6046990362204262,28.814814814814813
1,static_weighting,0.25,,415,0,,7.891608704023349,16.31504265091861,74.37275985663082,0.0,408.57004495730934,0.5094389587996375,29.703703703703702
2,percentage_flexible_weighting,0.25,0.33,434,0,,8.503081708414468,17.16841269841275,77.77777777777779,0.0,422.2665333108207,0.5112185633302914,29.5
