,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,572,34,2.7910066794975394,10.104302737935198,18.67351510496683,87.86482334869432,5.944055944055944,563.1329708167716,0.5946493884020819,28.696969696969695
1,static_weighting,0.25,,570,0,,6.0882365210373095,16.774999999999995,87.55760368663594,0.0,485.10999291187983,0.5250108148396968,29.806451612903224
2,percentage_flexible_weighting,0.25,0.33,569,0,,6.455461563701985,16.961706349206274,87.40399385560676,0.0,491.9072294914307,0.5335219408800767,29.741935483870968
