,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,580,82,7.733143393797759,14.538569787512728,18.85076787512586,74.93540051679587,14.13793103448276,598.126899100808,0.5922048505948594,28.857142857142858
1,static_weighting,0.25,,661,0,,8.274283377871903,16.232652613087474,85.40051679586563,0.0,590.7290878474951,0.5110113216673833,29.641025641025642
2,percentage_flexible_weighting,0.25,0.33,666,0,,8.338814547733003,16.292764602547305,86.04651162790698,0.0,586.7413189106481,0.508001141913981,29.615384615384617
