,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,464,53,9.533412424040007,13.391449399520383,18.929318181818136,69.66966966966966,11.422413793103448,510.63344223010495,0.5855888098969093,29.066666666666666
1,static_weighting,0.25,,536,0,,9.762898255198142,15.824839486356309,80.48048048048048,0.0,473.7819822931043,0.4756847211778156,30.181818181818183
2,percentage_flexible_weighting,0.25,0.33,527,0,,10.618908192598736,16.42915331196589,79.12912912912913,0.0,492.0972242421281,0.4955661875550132,30.09090909090909
