,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,494,32,11.853482960081903,9.410224783740947,18.420733447488548,74.17417417417418,6.477732793522267,566.8663107380584,0.6148224628395427,26.34285714285714
1,static_weighting,0.25,,548,0,,6.435320853534397,16.04263415892672,82.28228228228228,0.0,559.3290347550969,0.5494391304077573,26.789473684210527
2,percentage_flexible_weighting,0.25,0.33,533,0,,6.754084294274975,16.763667728237756,80.03003003003003,0.0,563.4900986430207,0.5640541527958165,27.0
