,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,442,7,5.92405632501026,5.498111269324482,18.94263059701488,79.21146953405018,1.583710407239819,492.36522196253134,0.5903659735761767,28.75862068965517
1,static_weighting,0.25,,436,0,,4.756150706500825,17.260673624288447,78.13620071684588,0.0,441.182338806571,0.5347664712806921,29.464285714285715
2,percentage_flexible_weighting,0.25,0.33,436,0,,4.768734650853412,17.602071473750804,78.13620071684588,0.0,447.99928939441406,0.5423720210586127,29.5
