,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,444,3,6.653745266894944,4.822397254031211,18.758583021223473,77.89473684210526,0.6756756756756757,470.71384782362685,0.6042539766670435,28.85185185185185
1,static_weighting,0.25,,456,0,,4.492646154643098,17.52375599520393,80.0,0.0,431.135905309724,0.533584041224906,29.925925925925927
2,percentage_flexible_weighting,0.25,0.33,461,0,,4.834220512031736,17.799181547618947,80.87719298245614,0.0,430.74815108804415,0.5298255240935352,30.11111111111111
