,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,559,20,2.7878561721018826,8.383955018636467,18.7480369807498,83.93393393393393,3.5778175313059033,588.3929758307232,0.6034799752109982,28.676470588235293
1,static_weighting,0.25,,572,0,,3.8116949754017138,17.380576441102818,85.88588588588588,0.0,544.0729030448063,0.5517980761103511,29.0
2,percentage_flexible_weighting,0.25,0.33,572,0,,3.9635580839713547,17.347619047619094,85.88588588588588,0.0,542.5729030448063,0.550276777935909,29.0
