,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,572,225,11.497334411426248,25.030673661009846,18.679055719921106,68.01426872770512,39.33566433566433,599.4355717178726,0.6006368454086899,28.514285714285716
1,static_weighting,0.25,,763,0,,12.887535227714965,15.096180555555556,90.72532699167658,0.0,599.4355717178726,0.47801879722318386,29.162790697674417
2,percentage_flexible_weighting,0.25,0.33,748,0,,13.71183457753421,15.106464828137515,88.94173602853745,0.0,599.4355717178726,0.4818613920561677,29.61904761904762
