,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,549,124,8.737405273871444,19.867295616644626,18.830841002045023,65.98557692307693,22.586520947176687,597.4424146669314,0.5968455690978336,28.6
1,static_weighting,0.25,,671,0,,9.74026613472415,15.331341515934536,80.64903846153845,0.0,597.4424146669314,0.505023173852013,29.575
2,percentage_flexible_weighting,0.25,0.33,673,0,,10.36334414077343,15.769652061855624,80.88942307692307,0.0,597.4424146669314,0.5037457121980872,29.65
