,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,562,111,7.9547189240129015,16.650603269594114,18.689230769230765,60.75675675675676,19.750889679715304,599.3808096764661,0.6085084362197626,28.142857142857142
1,static_weighting,0.25,,702,0,,7.857677750945242,15.443902183039416,75.89189189189189,0.0,599.3808096764662,0.4957657648275155,29.48780487804878
2,percentage_flexible_weighting,0.25,0.33,681,0,,8.447676533984609,15.768910256410258,73.62162162162163,0.0,599.3808096764661,0.5058065904442752,29.625
