,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,588,124,8.473461435923578,14.967643973672395,18.924380466472172,69.50354609929079,21.08843537414966,597.0597220060579,0.5752020443218284,29.65714285714286
1,static_weighting,0.25,,705,0,,9.517689773507966,15.782180293501092,83.33333333333334,0.0,583.7454216314877,0.4848383900593752,30.1
2,percentage_flexible_weighting,0.25,0.33,674,0,,9.851051996933926,15.976461038960947,79.66903073286052,0.0,583.7303336157493,0.50062635816102,29.897435897435898
