,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,564,72,5.704264658118135,16.11454301063637,18.770643939393956,65.96491228070175,12.76595744680851,598.7737743615684,0.5928453211500677,28.857142857142858
1,static_weighting,0.25,,673,0,,6.590048657981413,15.881789312308337,78.71345029239765,0.0,597.4453702271904,0.499118939204002,29.925
2,percentage_flexible_weighting,0.25,0.33,642,0,,6.884343782753681,16.411623108665776,75.08771929824562,0.0,598.7737743615684,0.5247798197735043,30.026315789473685
