,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,579,280,10.976606399767757,22.713257155123355,18.754373177842584,53.216911764705884,48.35924006908463,597.6643479239789,0.5825188576257104,29.314285714285713
1,static_weighting,0.25,,793,0,,14.050150233810399,14.565065913370983,72.88602941176471,0.0,597.6643479239789,0.436570013092753,30.42222222222222
2,percentage_flexible_weighting,0.25,0.33,765,0,,14.520499125976109,14.784405458089639,70.3125,0.0,597.6643479239789,0.4527760211545295,30.0
