,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,564,72,5.704264658118135,16.11454301063637,18.770643939393956,65.96491228070175,12.76595744680851,598.7737743615684,0.5928453211500677,28.857142857142858
1,static_weighting,0.25,,666,0,,6.729649282688937,16.068585526315744,77.89473684210526,0.0,598.5518575403619,0.4992092223022201,29.975
2,percentage_flexible_weighting,0.25,0.33,653,0,,7.153992110000387,16.28203405017923,76.37426900584795,0.0,597.3723715461621,0.5123262191648045,29.897435897435898
