,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,597,273,13.083963362196906,26.350911211593537,18.934216985763246,61.04294478527608,45.7286432160804,598.1699098599787,0.5830116080506615,29.314285714285713
1,static_weighting,0.25,,791,0,,16.553114824913195,14.58338084378559,80.87934560327199,0.0,598.1334605559438,0.44503977719936294,30.545454545454547
2,percentage_flexible_weighting,0.25,0.33,789,0,,16.395704618641258,14.510510935143317,80.67484662576688,0.0,598.1334605559438,0.4463682541462267,30.454545454545453
