,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,579,292,10.776747455615892,23.423579202621962,18.754373177842584,53.216911764705884,50.431778929188255,594.1285029291798,0.579072614940721,29.314285714285713
1,static_weighting,0.25,,795,1,,14.151949582570609,14.503783579265948,73.06985294117648,0.12578616352201258,593.4276813773264,0.4344272923699315,30.355555555555554
2,percentage_flexible_weighting,0.25,0.33,788,0,,15.198043552239906,14.665302859292689,72.42647058823529,0.0,593.4905039139155,0.4370327716597316,30.177777777777777
