,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,564,72,5.8625787783553385,16.802508134571745,18.770643939393956,65.96491228070175,12.76595744680851,595.6317649742437,0.5897344207665779,28.857142857142858
1,static_weighting,0.25,,651,0,,7.834529279452165,15.797330641543297,76.14035087719299,0.0,587.7999147421913,0.503253351662835,29.94871794871795
2,percentage_flexible_weighting,0.25,0.33,653,0,,7.99390480961165,16.18747203579415,76.37426900584795,0.0,590.2331578776689,0.5040419794002297,30.025641025641026
