,method,c,p,no_finished,no_delayed,avg_delay_time,avg_waiting_time,avg_service_time,delivery_rate,delay_finished_ratio,total_travel_time,time_per_item,items_per_tour
0,FCFS,,,599,236,15.504770888000651,24.538491680208143,18.97719109195404,60.56622851365015,39.39899833055092,598.768854868732,0.5790801304339768,29.542857142857144
1,dist_prio_ratio,,,841,14,33.42097310020785,9.455897239317343,14.724620409604492,85.03538928210314,1.6646848989298455,598.5061467255601,0.4381450561680528,30.355555555555554
2,static_weighting,0,,784,64,26.86895633347682,12.668658487238728,14.785511363636411,79.27199191102123,8.16326530612245,598.5061467255601,0.4479836427586528,30.363636363636363
3,static_weighting,0.25,,776,0,,14.640393237200234,14.844692630775144,78.46309403437816,0.0,598.5061467255601,0.45513775416392405,30.58139534883721
4,static_weighting,0.5,,710,0,,16.54287765826431,15.888416362899937,71.7896865520728,0.0,598.5061467255601,0.4838368203116897,30.925
5,static_weighting,0.75,,695,0,,16.502180151248872,15.917192760942756,70.27300303336703,0.0,598.5061467255601,0.49709812850960144,30.871794871794872
6,static_weighting,1,,577,112,,17.774452243596517,18.63693957115018,58.341759352881695,19.410745233968804,598.5061467255601,0.5732817497371265,26.1
7,trigger_flexible_weighting,0.1,,709,0,,14.601896937704673,15.248010887772214,71.68857431749241,0.0,598.5061467255601,0.48698628700208313,30.725
8,percentage_flexible_weighting,0.25,0.33,727,0,,14.22535409664763,15.18104141535988,73.50859453993934,0.0,598.5061467255601,0.4735016983588292,30.829268292682926
